# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.0285 -3.9226e-14 3.2419e-29 8.29945e-14 -2.30451e-36 2.79693e-23 -6.09258e-36
2.029 -3.98612e-14 3.09305e-29 8.2916e-14 -1.01711e-36 2.80124e-23 -2.2258e-36
2.0295 -4.04973e-14 3.39855e-29 8.28482e-14 2.4047e-36 2.80615e-23 3.68273e-36
2.03 -4.11345e-14 3.81632e-29 8.27912e-14 -3.37311e-36 2.8117e-23 -9.37407e-36
2.0305 -4.1773e-14 3.25819e-29 8.2745e-14 3.61693e-36 2.81787e-23 -7.49248e-37
2.031 -4.24132e-14 2.65126e-29 8.27098e-14 -1.74604e-36 2.82469e-23 -1.50368e-35
2.0315 -4.30551e-14 3.3529e-29 8.26858e-14 -4.84268e-36 2.83218e-23 -5.11421e-36
2.032 -4.36992e-14 3.29235e-29 8.2673e-14 6.64577e-36 2.84033e-23 -2.09256e-36
2.0325 -4.43455e-14 2.4005e-29 8.26716e-14 1.11106e-35 2.84918e-23 2.19935e-36
2.033 -4.49942e-14 3.64863e-29 8.2682e-14 9.09798e-36 2.85873e-23 8.20219e-38
2.0335 -4.56457e-14 4.48903e-29 8.27041e-14 -3.03762e-36 2.86901e-23 -1.00544e-35
2.034 -4.63e-14 3.32281e-29 8.27384e-14 -5.69371e-36 2.88005e-23 7.2708e-37
2.0345 -4.69575e-14 4.08871e-29 8.27849e-14 -2.82561e-36 2.89185e-23 -2.15128e-36
2.035 -4.76183e-14 4.51871e-29 8.28441e-14 -4.00907e-36 2.90445e-23 6.47065e-36
2.0355 -4.82826e-14 2.76002e-29 8.2916e-14 -8.14677e-38 2.91786e-23 2.05647e-36
2.036 -4.89507e-14 4.33871e-29 8.30012e-14 -2.06572e-36 2.93213e-23 4.97244e-36
2.0365 -4.96227e-14 2.43941e-29 8.30998e-14 -3.18945e-37 2.94728e-23 -3.52205e-36
2.037 -5.02988e-14 3.14295e-29 8.32122e-14 -2.73219e-36 2.96334e-23 7.05231e-36
2.0375 -5.09792e-14 4.99423e-29 8.33388e-14 -2.31148e-36 2.98035e-23 -1.13597e-35
2.038 -5.16642e-14 2.89177e-29 8.34801e-14 2.72526e-36 2.99834e-23 4.00327e-36
